id	name	element	description	imagepath	power	attack	defense
109	Metalbending	EARTH	Ability to bend metal.	com/avatarduel/card/image/skill/Metalbending.png	4	1	3
110	Rock Gloves	EARTH	Favored weapons of Ba Sing Se's secret police force, known as the Dai Li.	com/avatarduel/card/image/skill/Rock Gloves.png	1	-2	-2
111	Slinky Tank	EARTH	Stone vehicles provided both transportation and protection during the invasion of the Fire Nation.	com/avatarduel/card/image/skill/Slinky Tank.png	3	-1	5
112	Surface Rocks	EARTH	Largse rocks used as projectiles of Royal Earthbender Guards.	com/avatarduel/card/image/skill/Surface Rocks.png	2	3	0
113	Blue Fire	FIRE	Bend completely blue flames, which are hotter than the orange flames.	com/avatarduel/card/image/skill/Blue Fire.png	3	3	0
114	Combustionbending	FIRE	Ignite objects with their mind instead of traditional firebending methods.	com/avatarduel/card/image/skill/Combustionbending.png	3	3	0
115	Fire Armor	FIRE	Fire Nation armor.	com/avatarduel/card/image/skill/Fire Armor.png	1	0	2
116	Lightningbending	FIRE	Manipulate lightning by separating the yin and yang energies.	com/avatarduel/card/image/skill/Lightningbending.png	4	4	-2
117	Shozin Comet	FIRE	Formerly known as the Great Comet. A celestial object that passes close to the Earth every one hundred years, just skimming the surface of the upper atmosphere.	com/avatarduel/card/image/skill/Shozin Comet.png	4	4	-1
118	Trebuchets	FIRE	Large weapons to conduct long-range artilery warfare.	com/avatarduel/card/image/skill/Trebuchets.png	2	2	0
119	Wall of Flames	FIRE	Wall of concentrated flames acts as a barrier to incoming attacks.	com/avatarduel/card/image/skill/Wall of Flames.png	3	0	3
120	Bloodbending	WATER	Ability that allows waterbender to manipulate person's movement.	com/avatarduel/card/image/skill/Bloodbending.png	4	4	1
121	Club	WATER	A blunt force weapon used for striking. Mostly used by Sokka.	com/avatarduel/card/image/skill/Club.png	1	1	1
122	Full Moon	WATER	Enhance the ability of water bending.	com/avatarduel/card/image/skill/Full Moon.png	4	4	2
123	Ice Claws	WATER	Drawing water around the fingers and freezing it.	com/avatarduel/card/image/skill/Ice Claws.png	3	3	0
124	Ice Prison	WATER	This technique covers an opponent in a prison made of ice.	com/avatarduel/card/image/skill/Ice Prison.png	3	-4	2
125	Tangle Mine	WATER	Military weapons invented by Hakoda to aid the Southern Water Tribe's quest to defeat the Fire Nation.	com/avatarduel/card/image/skill/Tangle Mine.png	2	2	-1
126	Wolf Armor	WATER	Protective battle gear worn by the warriors of the Southern Water Tribe.	com/avatarduel/card/image/skill/Wolf Armor.png	2	2	1
